_id,Name_en,Name_zh,PreviewImage_en,PreviewImage_zh,AltText_en,AltText_zh,TemplateId_en,TemplateId_zh,Sort_en,Sort_zh
fd753594-1fb3-46b2-aab3-7c662744d424,Aura Skin,Aura Skin,/site/templates/template-aura-skin.png,/site/templates/template-aura-skin.png,Aura Skin template preview,Aura Skin 模板预览,ef0c990a-ee50-47fb-8bc6-ba64347c585d,ef0c990a-ee50-47fb-8bc6-ba64347c585d,1,1
e930ef37-24d1-4abe-90c0-ca2d5e28b105,Obsidian Atelier,Obsidian Atelier,/site/templates/template-obsidian-atelier.png,/site/templates/template-obsidian-atelier.png,Obsidian Atelier template preview,Obsidian Atelier 模板预览,52243914-dec4-4164-90f0-74aca00e65bf,52243914-dec4-4164-90f0-74aca00e65bf,2,2
355504c3-6c55-4703-b7f4-aed56791b103,North Isle Living,North Isle Living,/site/templates/template-north-isle-living.png,/site/templates/template-north-isle-living.png,North Isle Living template preview,North Isle Living 模板预览,d14286ff-5285-43f2-92d4-93b40fc3533e,d14286ff-5285-43f2-92d4-93b40fc3533e,3,3
974d5988-8266-4376-862e-197137993923,Pet Sneak,Pet Sneak,/site/templates/template-petsneak.png,/site/templates/template-petsneak.png,Pet Sneak template preview,Pet Sneak 模板预览,b3deff3d-b5fc-4237-b5f8-9476775e8a24,b3deff3d-b5fc-4237-b5f8-9476775e8a24,4,4
afb72930-4f3c-49af-a0ac-902adab176a8,Amber Glow,Amber Glow,/site/templates/template-amberglow.png,/site/templates/template-amberglow.png,Amber Glow template preview,Amber Glow 模板预览,c3c66721-8459-4392-8f90-d47e24464160,c3c66721-8459-4392-8f90-d47e24464160,5,5
854084f2-12a4-4776-b60d-f29655d43fe1,Clay Table,Clay Table,/site/templates/template-clay-table.png,/site/templates/template-clay-table.png,Clay Table template preview,Clay Table 模板预览,46da7362-d44e-4036-92da-52d45d2595b5,46da7362-d44e-4036-92da-52d45d2595b5,6,6
8aaa5646-1d79-418a-ba02-07d4215d9d69,Ember Grill,Ember Grill,/site/templates/template-ember-grill.png,/site/templates/template-ember-grill.png,Ember Grill template preview,Ember Grill 模板预览,6bed6e4d-dac2-430b-836b-960d375c79c2,6bed6e4d-dac2-430b-836b-960d375c79c2,7,7
6ed0fce2-526f-4fb3-8b62-0be8f8fc71d7,Bright Frame,Bright Frame,/site/templates/template-bright-frame.png,/site/templates/template-bright-frame.png,Bright Frame template preview,Bright Frame 模板预览,c8e94b85-6622-47c2-b642-5de896a1e15e,c8e94b85-6622-47c2-b642-5de896a1e15e,8,8
05e03cc8-b463-4248-bf74-e0123ffdb101,Night Voyage,Night Voyage,/site/templates/template-night-voyage.png,/site/templates/template-night-voyage.png,Night Voyage template preview,Night Voyage 模板预览,21291585-09ee-4781-b849-c4738410677e,21291585-09ee-4781-b849-c4738410677e,9,9
7774059e-02bc-4dcf-ab64-a358410feaa3,Nova Print,Nova Print,/site/templates/template-nova-print.png,/site/templates/template-nova-print.png,Nova Print template preview,Nova Print 模板预览,76d79529-1b77-49e8-b8fd-34f4d5f99766,76d79529-1b77-49e8-b8fd-34f4d5f99766,10,10
932178e0-3088-4578-978b-3ed7a1a5dd9e,Parcel Lab,Parcel Lab,/site/templates/template-parcel-lab.png,/site/templates/template-parcel-lab.png,Parcel Lab template preview,Parcel Lab 模板预览,b8c2f179-4390-4469-a65f-3b6c052a4a82,b8c2f179-4390-4469-a65f-3b6c052a4a82,11,11
1e27fb70-e528-43ac-a273-fca16696fa53,Wave Suit,Wave Suit,/site/templates/template-wave-suit.png,/site/templates/template-wave-suit.png,Wave Suit template preview,Wave Suit 模板预览,2498b239-5f36-44f4-bce8-aa9b792269b3,2498b239-5f36-44f4-bce8-aa9b792269b3,12,12
421e43b8-6495-4755-a294-759ec20ccf80,Nest Villa,Nest Villa,/site/templates/template-nestvilla.png,/site/templates/template-nestvilla.png,Nest Villa template preview,Nest Villa 模板预览,4497f5ef-9c61-4a01-81ff-cd206d27d0a6,4497f5ef-9c61-4a01-81ff-cd206d27d0a6,1,1
0c512730-4128-4232-903f-781bab94621d,Lumora Mark,Lumora Mark,/site/templates/template-lumoramark.png,/site/templates/template-lumoramark.png,Lumora Mark template preview,Lumora Mark 模板预览,b934d4cd-cd73-4d32-8b6d-4261e2987df5,b934d4cd-cd73-4d32-8b6d-4261e2987df5,2,2
84b50672-7f3e-42c1-9532-1ea9cde3da10,Pixel Grain,Pixel Grain,/site/templates/template-pixelgrain.png,/site/templates/template-pixelgrain.png,Pixel Grain template preview,Pixel Grain 模板预览,f35dda13-2405-467b-9357-b9d18750eea7,f35dda13-2405-467b-9357-b9d18750eea7,3,3
3a6828d6-c55d-490c-aa6f-c60cde1c3674,Halo Orbit,Halo Orbit,/site/templates/template-haloorbit.png,/site/templates/template-haloorbit.png,Halo Orbit template preview,Halo Orbit 模板预览,9daf1905-3de8-40c0-83a5-97ac9a7cdeeb,9daf1905-3de8-40c0-83a5-97ac9a7cdeeb,4,4
bec9567d-9b36-4f6a-a51c-e6aaae5977ba,Arch Index,Arch Index,/site/templates/template-arch-index.png,/site/templates/template-arch-index.png,Arch Index template preview,Arch Index 模板预览,3ae1c711-b681-4a11-9bf2-57bb75a967f6,3ae1c711-b681-4a11-9bf2-57bb75a967f6,5,5
ef7117ed-0f79-4670-8b36-10a2d488e7e6,Stripe Line,Stripe Line,/site/templates/template-stripeline.png,/site/templates/template-stripeline.png,Stripe Line template preview,Stripe Line 模板预览,2fc35f89-6f02-465d-a845-dd8e232aa8da,2fc35f89-6f02-465d-a845-dd8e232aa8da,6,6
9cf5e9dc-7407-41c0-a6f9-356d7c325f94,Craft Ledger,Craft Ledger,/site/templates/template-craft-ledger.png,/site/templates/template-craft-ledger.png,Craft Ledger template preview,Craft Ledger 模板预览,32d3144e-31db-4fad-9d43-3c2d7e528922,32d3144e-31db-4fad-9d43-3c2d7e528922,7,7
5ce26be5-eb0b-48e9-9e49-a362f707a347,Noir Archive Studio,Noir Archive Studio,/site/templates/template-noir-archive-studio.png,/site/templates/template-noir-archive-studio.png,Noir Archive Studio template preview,Noir Archive Studio 模板预览,0723a0d6-cd1a-4eaa-b4a4-2e7d2b6694b7,0723a0d6-cd1a-4eaa-b4a4-2e7d2b6694b7,8,8
297dd3b6-ca2d-4fbf-928d-0e6776a63a38,Threadline,Threadline,/site/templates/template-threadline.png,/site/templates/template-threadline.png,Threadline template preview,Threadline 模板预览,c466edf7-fd38-40b7-8037-5d7a234dc236,c466edf7-fd38-40b7-8037-5d7a234dc236,9,9
19e812a7-2dc1-4cd3-b1b2-93c11432a5c6,Plate Note,Plate Note,/site/templates/template-plate-note.png,/site/templates/template-plate-note.png,Plate Note template preview,Plate Note 模板预览,8910fcf7-6b8d-462e-bbee-087384f4189f,8910fcf7-6b8d-462e-bbee-087384f4189f,10,10
5ce3e217-2d54-46ab-b8b2-5799a74c5cb2,Surf Tide,Surf Tide,/site/templates/template-surf-tide.png,/site/templates/template-surf-tide.png,Surf Tide template preview,Surf Tide 模板预览,b5577d5c-8b18-4e38-b657-8f302591a1d8,b5577d5c-8b18-4e38-b657-8f302591a1d8,11,11
5b002c88-ff3a-4620-bf22-4dcf9a66b5bc,Volt Canvas Studio,Volt Canvas Studio,/site/templates/template-volt-canvas-studio.png,/site/templates/template-volt-canvas-studio.png,Volt Canvas Studio template preview,Volt Canvas Studio 模板预览,20170959-f9d8-4999-bd6c-ed1d2f642e8c,20170959-f9d8-4999-bd6c-ed1d2f642e8c,12,12
112f0607-871a-4d68-b1ee-2c97327c700d,Grapes Page Builder,Grapes Page Builder,/site/templates/template-grapes-page-builder.png,/site/templates/template-grapes-page-builder.png,Grapes Page Builder template preview,Grapes Page Builder 模板预览,b27578eb-1fdb-496c-a481-001063af099f,b27578eb-1fdb-496c-a481-001063af099f,3,3
5fbeb1fa-9b06-42a7-92d6-4cd8b1f7384a,Excalidraw,Excalidraw,/site/templates/template-excalidraw.png,/site/templates/template-excalidraw.png,Excalidraw template preview,Excalidraw 模板预览,9824247a-e53c-438d-b75e-9fa504411dc5,9824247a-e53c-438d-b75e-9fa504411dc5,4,4
3abc4323-2a9e-42ac-a492-6bdcb90d6c85,Kanban Task Management,Kanban Task Management,/site/templates/template-kanban-task-management.png,/site/templates/template-kanban-task-management.png,Kanban Task Management template preview,Kanban Task Management 模板预览,37b7c24b-0032-4cd4-b851-a948571ab6d7,37b7c24b-0032-4cd4-b851-a948571ab6d7,2,2
2c047e56-5089-4e0a-81da-bd317541775f,Community Portal,Community Portal,/site/templates/template-community-portal.png,/site/templates/template-community-portal.png,Community Portal template preview,Community Portal 模板预览,b49808dd-df12-4ac4-b3e0-157ddc2d3feb,b49808dd-df12-4ac4-b3e0-157ddc2d3feb,1,1
dad0d2e6-b0bf-4596-a1d3-08274f6d0e88,Toast Image Editor,Toast Image Editor,/site/templates/template-toast-image-editor.png,/site/templates/template-toast-image-editor.png,Toast Image Editor template preview,Toast Image Editor 模板预览,688df172-5054-45c0-853b-8f310ae41445,688df172-5054-45c0-853b-8f310ae41445,5,5
f81be829-422a-45f2-89a9-e98000722381,IDraw UI Designer,IDraw UI Designer,/site/templates/template-idraw-ui-designer.png,/site/templates/template-idraw-ui-designer.png,IDraw UI Designer template preview,IDraw UI Designer 模板预览,c76cd692-de9d-473b-90d8-e626e1494536,c76cd692-de9d-473b-90d8-e626e1494536,6,6
e22bdcde-3c69-47c3-b0c3-1b8cbc163b79,nunu 3D Studio,nunu 3D Studio,/site/templates/template-nunu-3d-studio.png,/site/templates/template-nunu-3d-studio.png,nunu 3D Studio template preview,nunu 3D Studio 模板预览,aa814e23-0636-4c9a-9955-80b98e477e6b,aa814e23-0636-4c9a-9955-80b98e477e6b,7,7
900888c4-b0f2-4b76-b538-67582e327c23,Mini Paint,Mini Paint,/site/templates/template-mini-paint.png,/site/templates/template-mini-paint.png,Mini Paint template preview,Mini Paint 模板预览,e49a5578-48d4-4417-bc22-7ee54bf3322b,e49a5578-48d4-4417-bc22-7ee54bf3322b,8,8
3c8455b4-cb8f-45ca-9be4-2d11205a06b0,Sprite editor Piskel,Sprite editor Piskel,/site/templates/template-sprite-editor-piskel.png,/site/templates/template-sprite-editor-piskel.png,Sprite editor Piskel template preview,Sprite editor Piskel 模板预览,aacfce62-4dd6-45f4-80f9-de0ad3f4a590,aacfce62-4dd6-45f4-80f9-de0ad3f4a590,9,9
ab4fb4b9-642d-4356-9231-6bafa5b78047,Online PPT (Chinese),Online PPT (Chinese),/site/templates/template-online-ppt-chinese.png,/site/templates/template-online-ppt-chinese.png,Online PPT (Chinese) template preview,Online PPT (Chinese) 模板预览,3af1dc0f-a114-441a-b887-a626deb5c450,3af1dc0f-a114-441a-b887-a626deb5c450,10,10
d1e155a2-dfb0-4d83-b395-59b28f65e706,Mermaid diagramming,Mermaid diagramming,/site/templates/template-mermaid-diagramming.png,/site/templates/template-mermaid-diagramming.png,Mermaid diagramming template preview,Mermaid diagramming 模板预览,96e67fb7-9453-4ecd-b5fc-85e413a9a141,96e67fb7-9453-4ecd-b5fc-85e413a9a141,11,11
4dcf54ba-15ff-479f-b997-b503872003dd,JSON Editor,JSON Editor,/site/templates/template-json-editor.png,/site/templates/template-json-editor.png,JSON Editor template preview,JSON Editor 模板预览,6baa042e-f418-4f22-b3db-be8036ab3e36,6baa042e-f418-4f22-b3db-be8036ab3e36,12,12
66bfa9d9-5ac7-433b-8587-d76e91c6e5cf,ERP Chinese,ERP Chinese,/site/templates/template-erp-chinese.png,/site/templates/template-erp-chinese.png,ERP Chinese template preview,ERP Chinese 模板预览,702c8873-3056-46b0-b179-1f7979b2af6b,702c8873-3056-46b0-b179-1f7979b2af6b,3,3
600c9d4e-aa77-46a6-bef6-e2f2449afa93,CRM Customer Relation Management,CRM Customer Relation Management,/site/templates/template-crm-customer-relation-management.png,/site/templates/template-crm-customer-relation-management.png,CRM Customer Relation Management template preview,CRM Customer Relation Management 模板预览,ee8418a5-b878-4cb0-aa51-ca36fa399cad,ee8418a5-b878-4cb0-aa51-ca36fa399cad,4,4
bb09b9c9-b6aa-42db-a749-6d15e0778a85,Misago Forum,Misago Forum,/site/templates/template-misago-forum.png,/site/templates/template-misago-forum.png,Misago Forum template preview,Misago Forum 模板预览,9b9f6f5e-bf26-4ab7-8b94-26983b9812c9,9b9f6f5e-bf26-4ab7-8b94-26983b9812c9,5,5
3fd5a916-2ae4-4c8c-b7eb-13b8ce189894,Cloud Drive,Cloud Drive,/site/templates/template-cloud-drive.png,/site/templates/template-cloud-drive.png,Cloud Drive template preview,Cloud Drive 模板预览,b893245c-94a4-4d59-9f26-b02914ca26b2,b893245c-94a4-4d59-9f26-b02914ca26b2,6,6
